index,nature_voie
LIEU DIT,6219261
RUE,833962
CHEMIN,261810
IMPASSE,194602
ROUTE,161868
ALLEE,95526
PLACE,90569
AVENUE,55416
LOTISSEMENT,46813
RESIDENCE,27340
RUELLE,15904
BOULEVARD,13935
VOIE COMMUNALE,13158
SQUARE,11671
PASSAGE,11022
"SENTIER, SENTE",9153
CHEMIN RURAL,7325
GRANDE RUE,5492
MONTEE,4888
TRAVERSE,4465
ROND-POINT,4276
COURS,3925
HAMEAU,3851
CHEMIN DEPARTEMENTAL,3095
QUARTIER,2852
VENELLE,2237
HLM,2002
VILLA,1978
ESPLANADE,1403
DOMAINE,1206
PETITE RUE,1167
ZA,1143
AUTOROUTE,931
PLACA,875
CHEMIN VICINAL,796
CHEMIN COMMUNAL,782
PASSERELLE,773
CARRIERA,720
CARREFOUR,710
VILLAGE,650
FERME,598
FAUBOURG,589
ANCIEN CHEMIN,539
ESCALIER,513
ZAC,506
ZI,478
PARKING,368
ANCIENNE ROUTE,306
PORTE,305
CHALET,303
CHAUSSEE,273
PARVIS,240
RAMPE,240
MARCHE,239
CHATEAU,217
DESCENTE,210
CORNICHE,202
CONTOUR,196
CANAL,184
ROCADE,177
GRANDE PLACE,175
CAMPING,175
PETIT CHEMIN,174
HABITATION,174
ENCLOS,137
VIEILLE ROUTE,136
DRAILLE,132
GALERIE,128
FOSSE,84
CHEMIN FORESTIER,79
ECLUSE,78
VAL,75
BASSIN,68
PETITE ROUTE,64
REMPART,64
ZUP,62
DIGUE,61
VIA,60
RACCOURCI,49
CROIX,40
HALLE,35
BOURG,31
VOYEUL,31
TUNNEL,29
VILLE,28
NOUVELLE ROUTE,20
MAS,18
BERGE,17
PETITE ALLEE,16
JETEE,16
PETITE AVENUE,15
ROTONDE,14
COL,13
TERTRE,13
BARRIERE,11
FONTAINE,10
POTERNE,8
MARINA,7
ZAD,7
PLAINE,6
RAVINE,6
SAS,4
PLATEAU,4
ECART,4
COULOIR,3
HALAGE,3
CHAMP,3
AERODROME,3
ARCADE,2
CHASSE,2
POINTE,2
ILE,2
FOND,1
ENCLAVE,1
GRAND BOULEVARD,1
TERRE-PLEIN,1
TERRAIN,1
AGGLOMERATION,1
LAC,1
